Address;Postcode
Flat B, 6 Belvoir Drive, Leicester;LE2 8PW
37 St Andrews Road, Leicester;LE2 8RE
28 Buckingham Drive, Leicester;LE2 8PY
24 Bradston Road, Leicester;LE2 8QG
140 Percy Road, Leicester;LE2 8FN
39 Eastwood Road, Leicester;LE2 8DD
312 Aylestone Road, Leicester;LE2 8BJ
68 Burgess Road, Leicester;LE2 8QL
13 Park Hill Drive, Leicester;LE2 8HS
69 Percy Road, Leicester;LE2 8FQ
158 Aylestone Drive, Leicester;LE2 8SD
24 Aylestone Drive, Leicester;LE2 8QD
4 Franklyn Road, Leicester;LE2 8LL
14 Kempson Road, Leicester;LE2 8AN
231 Wigston Lane, Aylestone;LE2 8DJ
31 Buckingham Drive, Leicester;LE2 8PY
25 Winders Way, Leicester;LE2 8SS
379 Aylestone Road, Leicester;LE2 8TA
14 Park Hill Avenue, Leicester;LE2 8HQ
24 Althorp Close, Leicester;LE2 8PZ
46 Burnaston Road, Leicester;LE2 8QN
416 Aylestone Road, Leicester;LE2 8JA
34 Richmond Avenue, Leicester;LE2 8AX
10 Highgrove Crescent, Leicester;LE2 8PX
175 Vernon Road, Leicester;LE2 8GG
169 Duncan Road, Leicester;LE2 8EH
2 Althorp Close, Leicester;LE2 8PZ
45 St Annes Drive, Leicester;LE2 8HU
332 Aylestone Road, Leicester;LE2 8BL
134 Lansdowne Road, Leicester;LE2 8AR
6 Cheshire Road, Leicester;LE2 8HE
616 Aylestone Road, Leicester;LE2 8JD
139 Lutterworth Road, Aylestone;LE2 8PL
156 Knighton Lane, Leicester;LE2 8BF
81 Glenhills Boulevard, Leicester;LE2 8UG
41 Burnaston Road, Leicester;LE2 8QP
12 Park Hill Drive, Leicester;LE2 8HR
14 Curzon Road, Leicester;LE2 8EB
349 Milligan Road, Leicester;LE2 8FH
6 Shropshire Road, Leicester;LE2 8HW
123 Lutterworth Road, Aylestone;LE2 8PL
329 Milligan Road, Leicester;LE2 8FH
149 Vernon Road, Leicester;LE2 8GF
747A Aylestone Road, Leicester;LE2 8TG
33 Vernon Road, Leicester;LE2 8GE
19 Paigle Road, Leicester;LE2 8HP
209 Duncan Road, Leicester;LE2 8EJ
7 Matts Close, Leicester;LE2 8SJ
144 Aylestone Drive, Leicester;LE2 8SA
314 Aylestone Road, Leicester;LE2 8BJ
30 Hampshire Road, Leicester;LE2 8HF
15 Worcester Road, Leicester;LE2 8HY
45 Glenhills Boulevard, Leicester;LE2 8UF
45 Cyprus Road, Leicester;LE2 8QT
52 Lutterworth Road, Aylestone;LE2 8PF
6 Alton Road, Leicester;LE2 8QA
40 Aylestone Drive, Leicester;LE2 8QD
95 Sharpland, Leicester;LE2 8UP
62 Wigston Lane, Aylestone;LE2 8TL
26 Vernon Road, Leicester;LE2 8GA
66 Conaglen Road, Leicester;LE2 8LD
21 Marsden Lane, Leicester;LE2 8LS
176 Little Glen Road, Glen Parva;LE2 9TT
30 Southfield Close, Glen Parva;LE2 9NW
50 Twickenham Road, Leicester;LE2 9RY
11 Hillsborough Crescent, Glen Parva;LE2 9PU
4 Swinford Court, Leicester;LE2 9QN
4 Autumn Road, Leicester;LE2 9GL
9 Red House Road, Leicester;LE2 9NA
Apartment 49, Glenhills Court, Little Glen Road, Glen Parva;LE2 9DH
60 Little Glen Road, Glen Parva;LE2 9TS
